raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] Kumar, P., Debele, S.E., Khalili, S., Halios, C.H., Sahani, J., Aghamohammadi,
N., Fatima Andrade, M., Athanassiadou, M., Bhui, K., Calvillo, N., et al.: Urban
heat mitigation by green and blue infrastructure: Drivers, effectiveness, and
future needs. The Innovation 5(2) (2024) https://doi.org/10.1016/j.xinn.2024.
100588",journal_article,"Urban heat mitigation by green and blue infrastructure: Drivers, effectiveness, and future needs",P. Kumar | S.E. Debele | S. Khalili | C.H. Halios | J. Sahani | N. Aghamohammadi | M. Fatima Andrade | M. Athanassiadou | K. Bhui | N. Calvillo | et al.,2024,The Innovation,5,2,,10.1016/j.xinn.2024.100588,,,,,,verified,0.99,"Urban heat mitigation by green and blue infrastructure: Drivers, effectiveness, and future needs",Prashant Kumar | Sisay E. Debele | Soheila Khalili | Christos H. Halios | Jeetendra Sahani | Nasrin Aghamohammadi | Maria de Fatima Andrade | Maria Athanassiadou | Kamaldeep Bhui | Nerea Calvillo | Shi-Jie Cao | Frederic Coulon | Jill L. Edmondson | David Fletcher | Edmilson Dias de Freitas | Hai Guo | Matthew C. Hort | Madhusudan Katti | Thomas Rodding Kjeldsen | Steffen Lehmann | Giuliano Maselli Locosselli | Shelagh K. Malham | Lidia Morawska | Rajan Parajuli | Christopher D.F. Rogers | Runming Yao | Fang Wang | Jannis Wenk | Laurence Jones,The Innovation,10.1016/j.xinn.2024.100588,https://doi.org/10.1016/j.xinn.2024.100588,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.99),35.29,0,0,0,0.0,0.0,0.0
"[2] Qi, J., Ding, L., Lim, S.: A decision-making framework to support urban heat
mitigation by local governments. Resources, Conservation and Recycling 184,
106420 (2022) https://doi.org/10.1016/j.resconrec.2022.106420",journal_article,A decision-making framework to support urban heat mitigation by local governments,J. Qi | L. Ding | S. Lim,2022,"Resources, Conservation and Recycling",184,,106420,10.1016/j.resconrec.2022.106420,,,,,,verified,1.0,A Decision-Making Framework to Support Urban Heat Mitigation by Local Governments,Jinda Qi | Lan Ding | Samsung Lim,"Resources, Conservation and Recycling",10.1016/j.resconrec.2022.106420,https://doi.org/10.1016/j.resconrec.2022.106420,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),35.59,0,0,0,0.0,0.0,0.0
"[3] Memon, R.A., Leung, D.Y., Liu, C.-H.: An investigation of urban heat island
intensity (UHII) as an indicator of urban heating. Atmospheric Research 94(3),
491-500 (2009) https://doi.org/10.1016/j.atmosres.2009.07.006",journal_article,An investigation of urban heat island intensity (UHII) as an indicator of urban heating,R.A. Memon | D.Y. Leung | C.-H. Liu,2009,Atmospheric Research,94,3,491-500,10.1016/j.atmosres.2009.07.006,,,,,,verified,1.0,An investigation of urban heat island intensity (UHII) as an indicator of urban heating,Rizwan Ahmed Memon | Dennis Y.C. Leung | Chun-Ho Liu,Atmospheric Research,10.1016/j.atmosres.2009.07.006,https://doi.org/10.1016/j.atmosres.2009.07.006,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),35.92,0,0,0,0.0,0.0,0.0
"[4] Bureau, U.S.C.: 2020 Census Urban Areas Facts. Accessed on 6 August
2025 (2023). https://www.census.gov/programs-surveys/geography/guidance/
geo-areas/urban-rural/2020-ua-facts.html",web,2020 Census Urban Areas Facts,U.S.C. Bureau,2023,,,,,,,,,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/urban-rural/2020-ua-facts.html,,verified,0.95,2020 Census Urban Areas Facts,U.S.C. Bureau,,,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/urban-rural/2020-ua-facts.html,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/urban-rural/2020-ua-facts.html,"The URL https://www.census.gov/programs-surveys/geography/guidance/geo-areas/urban-rural/2020-ua-facts.html was successfully opened and returns the exact page titled ""2020 Census Urban Areas Facts"" containing 2020 Census urban area statistics. The page was last updated 2026-05-07. The cited year 2023 is plausible for a 2020 Census facts sheet (2020 Census data releases continued through 2021-2023). The raw_text author ""U.S.C. Bureau"" maps to the U.S. Census Bureau which operates the publishing domain. No evidence of fabrication, chimera, or wrong journal/serial. This is a government web page citation where the URL resolves directly to the cited work with matching title and authoritative source.",258.36,31405,2246,1,0.000743,0.005,0.005743
"[5] Rizwan, A.M., Dennis, L.Y., et al.: A review on the generation, determination
and mitigation of Urban Heat Island. Journal of environmental sciences 20(1),
120-128 (2008) https://doi.org/10.1016/S1001-0742(08)60019-4",journal_article,"A review on the generation, determination and mitigation of Urban Heat Island",A.M. Rizwan | L.Y. Dennis | et al.,2008,Journal of environmental sciences,20,1,120-128,10.1016/S1001-0742(08)60019-4,,,,,,verified,0.99,"A review on the generation, determination and mitigation of Urban Heat Island",Ahmed Memon RIZWAN | Leung Y.C. DENNIS | Chunho LIU,Journal of Environmental Sciences,10.1016/s1001-0742(08)60019-4,https://doi.org/10.1016/s1001-0742(08)60019-4,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.99),36.65,0,0,0,0.0,0.0,0.0
"[6] Wolch, J.R., Byrne, J., Newell, J.P.: Urban green space, public health, and envi￾ronmental justice: The challenge of making cities ‘just green enough’. Landscape
and urban planning 125, 234-244 (2014) https://doi.org/10.1016/j.landurbplan.
2014.01.017",journal_article,"Urban green space, public health, and environmental justice: The challenge of making cities ‘just green enough’",J.R. Wolch | J. Byrne | J.P. Newell,2014,Landscape and urban planning,125,,234-244,10.1016/j.landurbplan.2014.01.017,,,,,,verified,1.0,"Urban green space, public health, and environmental justice: The challenge of making cities ‘just green enough’",Jennifer R. Wolch | Jason Byrne | Joshua P. Newell,Landscape and Urban Planning,10.1016/j.landurbplan.2014.01.017,https://doi.org/10.1016/j.landurbplan.2014.01.017,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),36.93,0,0,0,0.0,0.0,0.0
"[7] Chakraborty, T., Newman, A.J., Qian, Y., Hsu, A., Sheriff, G.: Residential seg￾regation and outdoor urban moist heat stress disparities in the United States.
One Earth 6(6), 738-750 (2023) https://doi.org/10.1016/j.oneear.2023.05.016",journal_article,Residential segregation and outdoor urban moist heat stress disparities in the United States,T. Chakraborty | A.J. Newman | Y. Qian | A. Hsu | G. Sheriff,2023,One Earth,6,6,738-750,10.1016/j.oneear.2023.05.016,,,,,,verified,1.0,Residential segregation and outdoor urban moist heat stress disparities in the United States,TC Chakraborty | Andrew J. Newman | Yun Qian | Angel Hsu | Glenn Sheriff,One Earth,10.1016/j.oneear.2023.05.016,https://doi.org/10.1016/j.oneear.2023.05.016,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),37.62,0,0,0,0.0,0.0,0.0
"[8] Mitchell, B.C., Chakraborty, J.: Landscapes of thermal inequity: dispropor￾tionate exposure to urban heat in the three largest US cities. Environmental
Research Letters 10(11), 115005 (2015) https://doi.org/10.1088/1748-9326/10/
11/115005",journal_article,Landscapes of thermal inequity: disproportionate exposure to urban heat in the three largest US cities,B.C. Mitchell | J. Chakraborty,2015,Environmental Research Letters,10,11,115005,10.1088/1748-9326/10/11/115005,,,,,,verified,1.0,Landscapes of thermal inequity: disproportionate exposure to urban heat in the three largest US cities,Bruce C Mitchell | Jayajit Chakraborty,Environmental Research Letters,10.1088/1748-9326/10/11/115005,https://doi.org/10.1088/1748-9326/10/11/115005,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),37.92,0,0,0,0.0,0.0,0.0
"[9] Molina, M.J., O’Brien, T.A., Anderson, G., Ashfaq, M., Bennett, K.E., Collins,
W.D., Dagon, K., Restrepo, J.M., Ullrich, P.A.: A review of recent and emerging
machine learning applications for climate variability and weather phenomena.
Artificial Intelligence for the Earth Systems 2(4), 220086 (2023) https://doi.org/
10.1175/AIES-D-22-0086.1",journal_article,A review of recent and emerging machine learning applications for climate variability and weather phenomena,M.J. Molina | T.A. O’Brien | G. Anderson | M. Ashfaq | K.E. Bennett | W.D. Collins | K. Dagon | J.M. Restrepo | P.A. Ullrich,2023,Artificial Intelligence for the Earth Systems,2,4,220086,10.1175/AIES-D-22-0086.1,,,,,,verified,1.0,A Review of Recent and Emerging Machine Learning Applications for Climate Variability and Weather Phenomena,Maria J. Molina | Travis A. O’Brien | Gemma Anderson | Moetasim Ashfaq | Katrina E. Bennett | William D. Collins | Katherine Dagon | Juan M. Restrepo | Paul A. Ullrich,Artificial Intelligence for the Earth Systems,10.1175/aies-d-22-0086.1,https://doi.org/10.1175/aies-d-22-0086.1,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),38.28,0,0,0,0.0,0.0,0.0
"[10] Mohamed, O.Y., Zahidi, I.: Artificial intelligence for predicting urban heat island
effect and optimising land use/land cover for mitigation: Prospects and recent
advancements. Urban Climate 55, 101976 (2024) https://doi.org/10.1016/j.
uclim.2024.101976",journal_article,Artificial intelligence for predicting urban heat island effect and optimising land use/land cover for mitigation: Prospects and recent advancements,O.Y. Mohamed | I. Zahidi,2024,Urban Climate,55,101976,,10.1016/j.uclim.2024.101976,,,,,,verified,1.0,Artificial intelligence for predicting urban heat island effect and optimising land use/land cover for mitigation: Prospects and recent advancements,Omar Y.A. Mohamed | Izni Zahidi,Urban Climate,10.1016/j.uclim.2024.101976,https://doi.org/10.1016/j.uclim.2024.101976,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),38.58,0,0,0,0.0,0.0,0.0
